Chord,Octave,Notes,Midi numbers,Formula
F#b3,1,"F#, G#, A#, C#","18, 20, 22, 25","0, 2, 4, 7"
F##9,1,"F#, A#, C#, A","18, 22, 25, 33","0, 4, 7, 15"
F#dim7,1,"F#, A, C, D#","18, 21, 24, 27","0, 3, 6, 9"
F#min6,1,"F#, A, C#, D#","18, 21, 25, 27","0, 3, 7, 9"
F#maj9,1,"F#, A#, C#, F, G#","18, 22, 25, 29, 32","0, 4, 7, 11, 14"
F#7sus4,1,"F#, B, C#, E","18, 23, 25, 28","0, 5, 7, 10"
F#7sus2,1,"F#, G#, C#, E","18, 20, 25, 28","0, 2, 7, 10"
F#7b5,1,"F#, A#, C, E","18, 22, 24, 28","0, 4, 6, 10"
F#7#5,1,"F#, A#, D, E","18, 22, 26, 28","0, 4, 8, 10"
F#7b9,1,"F#, A#, C#, E, G","18, 22, 25, 28, 31","0, 4, 7, 10, 13"
F##4,1,"F#, C, C#","18, 24, 25","0, 6, 7"
F#7#9,1,"F#, A#, C#, E, A","18, 22, 25, 28, 33","0, 4, 7, 10, 15"
F#hdim,1,"F#, A, C, E","18, 21, 24, 28","0, 3, 6, 10"
Gmaj,1,"G, B, D","19, 23, 26","0, 4, 7"
Gmin,1,"G, A#, D","19, 22, 26","0, 3, 7"
G7,1,"G, B, D, F","19, 23, 26, 29","0, 4, 7, 10"
Gmaj7,1,"G, B, D, F#","19, 23, 26, 30","0, 4, 7, 11"
Gmin7,1,"G, A#, D, F","19, 22, 26, 29","0, 3, 7, 10"
Gminmaj7,1,"G, A#, D, F#","19, 22, 26, 30","0, 3, 7, 11"
Gdim,1,"G, A#, C#","19, 22, 25","0, 3, 6"
Gaug,1,"G, B, D#","19, 23, 27","0, 4, 8"
Gaug(b7),1,"G, B, D#, F#","19, 23, 27, 30","0, 4, 8, 11"
Gsus2,1,"G, A, D","19, 21, 26","0, 2, 7"
Gsus4,1,"G, C, D","19, 24, 26","0, 5, 7"
G9,1,"G, B, D, F, A","19, 23, 26, 29, 33","0, 4, 7, 10, 14"
G11,1,"G, B, D, F, A, C","19, 23, 26, 29, 33, 36","0, 4, 7, 10, 14, 17"
G13,1,"G, B, D, F, A, C, E","19, 23, 26, 29, 33, 36, 40","0, 4, 7, 10, 14, 17, 21"
Gmin9,1,"G, A#, D, F, A","19, 22, 26, 29, 33","0, 3, 7, 10, 14"
Gmin11,1,"G, A#, D, F, A, C","19, 22, 26, 29, 33, 36","0, 3, 7, 10, 14, 17"
Gmin13,1,"G, A#, D, F, A, C, E","19, 22, 26, 29, 33, 36, 40","0, 3, 7, 10, 14, 17, 21"
Gmaj6,1,"G, B, D, E","19, 23, 26, 28","0, 4, 7, 9"
Gb6,1,"G, B, D, D#","19, 23, 26, 27","0, 4, 7, 8"
Gb3,1,"G, A, B, D","19, 21, 23, 26","0, 2, 4, 7"
G#9,1,"G, B, D, A#","19, 23, 26, 34","0, 4, 7, 15"
Gdim7,1,"G, A#, C#, E","19, 22, 25, 28","0, 3, 6, 9"
Gmin6,1,"G, A#, D, E","19, 22, 26, 28","0, 3, 7, 9"
Gmaj9,1,"G, B, D, F#, A","19, 23, 26, 30, 33","0, 4, 7, 11, 14"
G7sus4,1,"G, C, D, F","19, 24, 26, 29","0, 5, 7, 10"
G7sus2,1,"G, A, D, F","19, 21, 26, 29","0, 2, 7, 10"
G7b5,1,"G, B, C#, F","19, 23, 25, 29","0, 4, 6, 10"
G7#5,1,"G, B, D#, F","19, 23, 27, 29","0, 4, 8, 10"
G7b9,1,"G, B, D, F, G#","19, 23, 26, 29, 32","0, 4, 7, 10, 13"
G#4,1,"G, C#, D","19, 25, 26","0, 6, 7"
G7#9,1,"G, B, D, F, A#","19, 23, 26, 29, 34","0, 4, 7, 10, 15"
Ghdim,1,"G, A#, C#, F","19, 22, 25, 29","0, 3, 6, 10"
G#maj,1,"G#, C, D#","20, 24, 27","0, 4, 7"
G#min,1,"G#, B, D#","20, 23, 27","0, 3, 7"
G#7,1,"G#, C, D#, F#","20, 24, 27, 30","0, 4, 7, 10"
G#maj7,1,"G#, C, D#, G","20, 24, 27, 31","0, 4, 7, 11"
G#min7,1,"G#, B, D#, F#","20, 23, 27, 30","0, 3, 7, 10"
G#minmaj7,1,"G#, B, D#, G","20, 23, 27, 31","0, 3, 7, 11"
G#dim,1,"G#, B, D","20, 23, 26","0, 3, 6"
G#aug,1,"G#, C, E","20, 24, 28","0, 4, 8"
G#aug(b7),1,"G#, C, E, G","20, 24, 28, 31","0, 4, 8, 11"
G#sus2,1,"G#, A#, D#","20, 22, 27","0, 2, 7"
G#sus4,1,"G#, C#, D#","20, 25, 27","0, 5, 7"
G#9,1,"G#, C, D#, F#, A#","20, 24, 27, 30, 34","0, 4, 7, 10, 14"
G#11,1,"G#, C, D#, F#, A#, C#","20, 24, 27, 30, 34, 37","0, 4, 7, 10, 14, 17"
G#13,1,"G#, C, D#, F#, A#, C#, F","20, 24, 27, 30, 34, 37, 41","0, 4, 7, 10, 14, 17, 21"
G#min9,1,"G#, B, D#, F#, A#","20, 23, 27, 30, 34","0, 3, 7, 10, 14"
G#min11,1,"G#, B, D#, F#, A#, C#","20, 23, 27, 30, 34, 37","0, 3, 7, 10, 14, 17"
G#min13,1,"G#, B, D#, F#, A#, C#, F","20, 23, 27, 30, 34, 37, 41","0, 3, 7, 10, 14, 17, 21"
G#maj6,1,"G#, C, D#, F","20, 24, 27, 29","0, 4, 7, 9"
G#b6,1,"G#, C, D#, E","20, 24, 27, 28","0, 4, 7, 8"
G#b3,1,"G#, A#, C, D#","20, 22, 24, 27","0, 2, 4, 7"
G##9,1,"G#, C, D#, B","20, 24, 27, 35","0, 4, 7, 15"
G#dim7,1,"G#, B, D, F","20, 23, 26, 29","0, 3, 6, 9"
G#min6,1,"G#, B, D#, F","20, 23, 27, 29","0, 3, 7, 9"
G#maj9,1,"G#, C, D#, G, A#","20, 24, 27, 31, 34","0, 4, 7, 11, 14"
G#7sus4,1,"G#, C#, D#, F#","20, 25, 27, 30","0, 5, 7, 10"
G#7sus2,1,"G#, A#, D#, F#","20, 22, 27, 30","0, 2, 7, 10"
G#7b5,1,"G#, C, D, F#","20, 24, 26, 30","0, 4, 6, 10"
G#7#5,1,"G#, C, E, F#","20, 24, 28, 30","0, 4, 8, 10"
G#7b9,1,"G#, C, D#, F#, A","20, 24, 27, 30, 33","0, 4, 7, 10, 13"
G##4,1,"G#, D, D#","20, 26, 27","0, 6, 7"
G#7#9,1,"G#, C, D#, F#, B","20, 24, 27, 30, 35","0, 4, 7, 10, 15"
G#hdim,1,"G#, B, D, F#","20, 23, 26, 30","0, 3, 6, 10"
Amaj,1,"A, C#, E","21, 25, 28","0, 4, 7"
Amin,1,"A, C, E","21, 24, 28","0, 3, 7"
A7,1,"A, C#, E, G","21, 25, 28, 31","0, 4, 7, 10"
Amaj7,1,"A, C#, E, G#","21, 25, 28, 32","0, 4, 7, 11"
Amin7,1,"A, C, E, G","21, 24, 28, 31","0, 3, 7, 10"
Aminmaj7,1,"A, C, E, G#","21, 24, 28, 32","0, 3, 7, 11"
Adim,1,"A, C, D#","21, 24, 27","0, 3, 6"
Aaug,1,"A, C#, F","21, 25, 29","0, 4, 8"
Aaug(b7),1,"A, C#, F, G#","21, 25, 29, 32","0, 4, 8, 11"
Asus2,1,"A, B, E","21, 23, 28","0, 2, 7"
Asus4,1,"A, D, E","21, 26, 28","0, 5, 7"
A9,1,"A, C#, E, G, B","21, 25, 28, 31, 35","0, 4, 7, 10, 14"
A11,1,"A, C#, E, G, B, D","21, 25, 28, 31, 35, 38","0, 4, 7, 10, 14, 17"
A13,1,"A, C#, E, G, B, D, F#","21, 25, 28, 31, 35, 38, 42","0, 4, 7, 10, 14, 17, 21"
Amin9,1,"A, C, E, G, B","21, 24, 28, 31, 35","0, 3, 7, 10, 14"
Amin11,1,"A, C, E, G, B, D","21, 24, 28, 31, 35, 38","0, 3, 7, 10, 14, 17"
Amin13,1,"A, C, E, G, B, D, F#","21, 24, 28, 31, 35, 38, 42","0, 3, 7, 10, 14, 17, 21"
Amaj6,1,"A, C#, E, F#","21, 25, 28, 30","0, 4, 7, 9"
Ab6,1,"A, C#, E, F","21, 25, 28, 29","0, 4, 7, 8"
Ab3,1,"A, B, C#, E","21, 23, 25, 28","0, 2, 4, 7"
A#9,1,"A, C#, E, C","21, 25, 28, 36","0, 4, 7, 15"
Adim7,1,"A, C, D#, F#","21, 24, 27, 30","0, 3, 6, 9"
Amin6,1,"A, C, E, F#","21, 24, 28, 30","0, 3, 7, 9"
Amaj9,1,"A, C#, E, G#, B","21, 25, 28, 32, 35","0, 4, 7, 11, 14"
A7sus4,1,"A, D, E, G","21, 26, 28, 31","0, 5, 7, 10"
A7sus2,1,"A, B, E, G","21, 23, 28, 31","0, 2, 7, 10"
A7b5,1,"A, C#, D#, G","21, 25, 27, 31","0, 4, 6, 10"
A7#5,1,"A, C#, F, G","21, 25, 29, 31","0, 4, 8, 10"
A7b9,1,"A, C#, E, G, A#","21, 25, 28, 31, 34","0, 4, 7, 10, 13"
A#4,1,"A, D#, E","21, 27, 28","0, 6, 7"
A7#9,1,"A, C#, E, G, C","21, 25, 28, 31, 36","0, 4, 7, 10, 15"
Ahdim,1,"A, C, D#, G","21, 24, 27, 31","0, 3, 6, 10"
A#maj,1,"A#, D, F","22, 26, 29","0, 4, 7"
A#min,1,"A#, C#, F","22, 25, 29","0, 3, 7"
A#7,1,"A#, D, F, G#","22, 26, 29, 32","0, 4, 7, 10"
