Chord,Octave,Notes,Midi numbers,Formula
E13,4,"E, G#, B, D, F#, A, C#","52, 56, 59, 62, 66, 69, 73","0, 4, 7, 10, 14, 17, 21"
Emin9,4,"E, G, B, D, F#","52, 55, 59, 62, 66","0, 3, 7, 10, 14"
Emin11,4,"E, G, B, D, F#, A","52, 55, 59, 62, 66, 69","0, 3, 7, 10, 14, 17"
Emin13,4,"E, G, B, D, F#, A, C#","52, 55, 59, 62, 66, 69, 73","0, 3, 7, 10, 14, 17, 21"
Emaj6,4,"E, G#, B, C#","52, 56, 59, 61","0, 4, 7, 9"
Eb6,4,"E, G#, B, C","52, 56, 59, 60","0, 4, 7, 8"
Eb3,4,"E, F#, G#, B","52, 54, 56, 59","0, 2, 4, 7"
E#9,4,"E, G#, B, G","52, 56, 59, 67","0, 4, 7, 15"
Edim7,4,"E, G, A#, C#","52, 55, 58, 61","0, 3, 6, 9"
Emin6,4,"E, G, B, C#","52, 55, 59, 61","0, 3, 7, 9"
Emaj9,4,"E, G#, B, D#, F#","52, 56, 59, 63, 66","0, 4, 7, 11, 14"
E7sus4,4,"E, A, B, D","52, 57, 59, 62","0, 5, 7, 10"
E7sus2,4,"E, F#, B, D","52, 54, 59, 62","0, 2, 7, 10"
E7b5,4,"E, G#, A#, D","52, 56, 58, 62","0, 4, 6, 10"
E7#5,4,"E, G#, C, D","52, 56, 60, 62","0, 4, 8, 10"
E7b9,4,"E, G#, B, D, F","52, 56, 59, 62, 65","0, 4, 7, 10, 13"
E#4,4,"E, A#, B","52, 58, 59","0, 6, 7"
E7#9,4,"E, G#, B, D, G","52, 56, 59, 62, 67","0, 4, 7, 10, 15"
Ehdim,4,"E, G, A#, D","52, 55, 58, 62","0, 3, 6, 10"
Fmaj,4,"F, A, C","53, 57, 60","0, 4, 7"
Fmin,4,"F, G#, C","53, 56, 60","0, 3, 7"
F7,4,"F, A, C, D#","53, 57, 60, 63","0, 4, 7, 10"
Fmaj7,4,"F, A, C, E","53, 57, 60, 64","0, 4, 7, 11"
Fmin7,4,"F, G#, C, D#","53, 56, 60, 63","0, 3, 7, 10"
Fminmaj7,4,"F, G#, C, E","53, 56, 60, 64","0, 3, 7, 11"
Fdim,4,"F, G#, B","53, 56, 59","0, 3, 6"
Faug,4,"F, A, C#","53, 57, 61","0, 4, 8"
Faug(b7),4,"F, A, C#, E","53, 57, 61, 64","0, 4, 8, 11"
Fsus2,4,"F, G, C","53, 55, 60","0, 2, 7"
Fsus4,4,"F, A#, C","53, 58, 60","0, 5, 7"
F9,4,"F, A, C, D#, G","53, 57, 60, 63, 67","0, 4, 7, 10, 14"
F11,4,"F, A, C, D#, G, A#","53, 57, 60, 63, 67, 70","0, 4, 7, 10, 14, 17"
F13,4,"F, A, C, D#, G, A#, D","53, 57, 60, 63, 67, 70, 74","0, 4, 7, 10, 14, 17, 21"
Fmin9,4,"F, G#, C, D#, G","53, 56, 60, 63, 67","0, 3, 7, 10, 14"
Fmin11,4,"F, G#, C, D#, G, A#","53, 56, 60, 63, 67, 70","0, 3, 7, 10, 14, 17"
Fmin13,4,"F, G#, C, D#, G, A#, D","53, 56, 60, 63, 67, 70, 74","0, 3, 7, 10, 14, 17, 21"
Fmaj6,4,"F, A, C, D","53, 57, 60, 62","0, 4, 7, 9"
Fb6,4,"F, A, C, C#","53, 57, 60, 61","0, 4, 7, 8"
Fb3,4,"F, G, A, C","53, 55, 57, 60","0, 2, 4, 7"
F#9,4,"F, A, C, G#","53, 57, 60, 68","0, 4, 7, 15"
Fdim7,4,"F, G#, B, D","53, 56, 59, 62","0, 3, 6, 9"
Fmin6,4,"F, G#, C, D","53, 56, 60, 62","0, 3, 7, 9"
Fmaj9,4,"F, A, C, E, G","53, 57, 60, 64, 67","0, 4, 7, 11, 14"
F7sus4,4,"F, A#, C, D#","53, 58, 60, 63","0, 5, 7, 10"
F7sus2,4,"F, G, C, D#","53, 55, 60, 63","0, 2, 7, 10"
F7b5,4,"F, A, B, D#","53, 57, 59, 63","0, 4, 6, 10"
F7#5,4,"F, A, C#, D#","53, 57, 61, 63","0, 4, 8, 10"
F7b9,4,"F, A, C, D#, F#","53, 57, 60, 63, 66","0, 4, 7, 10, 13"
F#4,4,"F, B, C","53, 59, 60","0, 6, 7"
F7#9,4,"F, A, C, D#, G#","53, 57, 60, 63, 68","0, 4, 7, 10, 15"
Fhdim,4,"F, G#, B, D#","53, 56, 59, 63","0, 3, 6, 10"
F#maj,4,"F#, A#, C#","54, 58, 61","0, 4, 7"
F#min,4,"F#, A, C#","54, 57, 61","0, 3, 7"
F#7,4,"F#, A#, C#, E","54, 58, 61, 64","0, 4, 7, 10"
F#maj7,4,"F#, A#, C#, F","54, 58, 61, 65","0, 4, 7, 11"
F#min7,4,"F#, A, C#, E","54, 57, 61, 64","0, 3, 7, 10"
F#minmaj7,4,"F#, A, C#, F","54, 57, 61, 65","0, 3, 7, 11"
F#dim,4,"F#, A, C","54, 57, 60","0, 3, 6"
F#aug,4,"F#, A#, D","54, 58, 62","0, 4, 8"
F#aug(b7),4,"F#, A#, D, F","54, 58, 62, 65","0, 4, 8, 11"
F#sus2,4,"F#, G#, C#","54, 56, 61","0, 2, 7"
F#sus4,4,"F#, B, C#","54, 59, 61","0, 5, 7"
F#9,4,"F#, A#, C#, E, G#","54, 58, 61, 64, 68","0, 4, 7, 10, 14"
F#11,4,"F#, A#, C#, E, G#, B","54, 58, 61, 64, 68, 71","0, 4, 7, 10, 14, 17"
F#13,4,"F#, A#, C#, E, G#, B, D#","54, 58, 61, 64, 68, 71, 75","0, 4, 7, 10, 14, 17, 21"
F#min9,4,"F#, A, C#, E, G#","54, 57, 61, 64, 68","0, 3, 7, 10, 14"
F#min11,4,"F#, A, C#, E, G#, B","54, 57, 61, 64, 68, 71","0, 3, 7, 10, 14, 17"
F#min13,4,"F#, A, C#, E, G#, B, D#","54, 57, 61, 64, 68, 71, 75","0, 3, 7, 10, 14, 17, 21"
F#maj6,4,"F#, A#, C#, D#","54, 58, 61, 63","0, 4, 7, 9"
F#b6,4,"F#, A#, C#, D","54, 58, 61, 62","0, 4, 7, 8"
F#b3,4,"F#, G#, A#, C#","54, 56, 58, 61","0, 2, 4, 7"
F##9,4,"F#, A#, C#, A","54, 58, 61, 69","0, 4, 7, 15"
F#dim7,4,"F#, A, C, D#","54, 57, 60, 63","0, 3, 6, 9"
F#min6,4,"F#, A, C#, D#","54, 57, 61, 63","0, 3, 7, 9"
F#maj9,4,"F#, A#, C#, F, G#","54, 58, 61, 65, 68","0, 4, 7, 11, 14"
F#7sus4,4,"F#, B, C#, E","54, 59, 61, 64","0, 5, 7, 10"
F#7sus2,4,"F#, G#, C#, E","54, 56, 61, 64","0, 2, 7, 10"
F#7b5,4,"F#, A#, C, E","54, 58, 60, 64","0, 4, 6, 10"
F#7#5,4,"F#, A#, D, E","54, 58, 62, 64","0, 4, 8, 10"
F#7b9,4,"F#, A#, C#, E, G","54, 58, 61, 64, 67","0, 4, 7, 10, 13"
F##4,4,"F#, C, C#","54, 60, 61","0, 6, 7"
F#7#9,4,"F#, A#, C#, E, A","54, 58, 61, 64, 69","0, 4, 7, 10, 15"
F#hdim,4,"F#, A, C, E","54, 57, 60, 64","0, 3, 6, 10"
Gmaj,4,"G, B, D","55, 59, 62","0, 4, 7"
Gmin,4,"G, A#, D","55, 58, 62","0, 3, 7"
G7,4,"G, B, D, F","55, 59, 62, 65","0, 4, 7, 10"
Gmaj7,4,"G, B, D, F#","55, 59, 62, 66","0, 4, 7, 11"
Gmin7,4,"G, A#, D, F","55, 58, 62, 65","0, 3, 7, 10"
Gminmaj7,4,"G, A#, D, F#","55, 58, 62, 66","0, 3, 7, 11"
Gdim,4,"G, A#, C#","55, 58, 61","0, 3, 6"
Gaug,4,"G, B, D#","55, 59, 63","0, 4, 8"
Gaug(b7),4,"G, B, D#, F#","55, 59, 63, 66","0, 4, 8, 11"
Gsus2,4,"G, A, D","55, 57, 62","0, 2, 7"
Gsus4,4,"G, C, D","55, 60, 62","0, 5, 7"
G9,4,"G, B, D, F, A","55, 59, 62, 65, 69","0, 4, 7, 10, 14"
G11,4,"G, B, D, F, A, C","55, 59, 62, 65, 69, 72","0, 4, 7, 10, 14, 17"
G13,4,"G, B, D, F, A, C, E","55, 59, 62, 65, 69, 72, 76","0, 4, 7, 10, 14, 17, 21"
Gmin9,4,"G, A#, D, F, A","55, 58, 62, 65, 69","0, 3, 7, 10, 14"
Gmin11,4,"G, A#, D, F, A, C","55, 58, 62, 65, 69, 72","0, 3, 7, 10, 14, 17"
Gmin13,4,"G, A#, D, F, A, C, E","55, 58, 62, 65, 69, 72, 76","0, 3, 7, 10, 14, 17, 21"
Gmaj6,4,"G, B, D, E","55, 59, 62, 64","0, 4, 7, 9"
Gb6,4,"G, B, D, D#","55, 59, 62, 63","0, 4, 7, 8"
Gb3,4,"G, A, B, D","55, 57, 59, 62","0, 2, 4, 7"
G#9,4,"G, B, D, A#","55, 59, 62, 70","0, 4, 7, 15"
Gdim7,4,"G, A#, C#, E","55, 58, 61, 64","0, 3, 6, 9"
Gmin6,4,"G, A#, D, E","55, 58, 62, 64","0, 3, 7, 9"
Gmaj9,4,"G, B, D, F#, A","55, 59, 62, 66, 69","0, 4, 7, 11, 14"
G7sus4,4,"G, C, D, F","55, 60, 62, 65","0, 5, 7, 10"
G7sus2,4,"G, A, D, F","55, 57, 62, 65","0, 2, 7, 10"
G7b5,4,"G, B, C#, F","55, 59, 61, 65","0, 4, 6, 10"
G7#5,4,"G, B, D#, F","55, 59, 63, 65","0, 4, 8, 10"
G7b9,4,"G, B, D, F, G#","55, 59, 62, 65, 68","0, 4, 7, 10, 13"
G#4,4,"G, C#, D","55, 61, 62","0, 6, 7"
G7#9,4,"G, B, D, F, A#","55, 59, 62, 65, 70","0, 4, 7, 10, 15"
Ghdim,4,"G, A#, C#, F","55, 58, 61, 65","0, 3, 6, 10"
G#maj,4,"G#, C, D#","56, 60, 63","0, 4, 7"
G#min,4,"G#, B, D#","56, 59, 63","0, 3, 7"
G#7,4,"G#, C, D#, F#","56, 60, 63, 66","0, 4, 7, 10"
G#maj7,4,"G#, C, D#, G","56, 60, 63, 67","0, 4, 7, 11"
G#min7,4,"G#, B, D#, F#","56, 59, 63, 66","0, 3, 7, 10"
G#minmaj7,4,"G#, B, D#, G","56, 59, 63, 67","0, 3, 7, 11"
G#dim,4,"G#, B, D","56, 59, 62","0, 3, 6"
G#aug,4,"G#, C, E","56, 60, 64","0, 4, 8"
G#aug(b7),4,"G#, C, E, G","56, 60, 64, 67","0, 4, 8, 11"
G#sus2,4,"G#, A#, D#","56, 58, 63","0, 2, 7"
G#sus4,4,"G#, C#, D#","56, 61, 63","0, 5, 7"
G#9,4,"G#, C, D#, F#, A#","56, 60, 63, 66, 70","0, 4, 7, 10, 14"
G#11,4,"G#, C, D#, F#, A#, C#","56, 60, 63, 66, 70, 73","0, 4, 7, 10, 14, 17"
G#13,4,"G#, C, D#, F#, A#, C#, F","56, 60, 63, 66, 70, 73, 77","0, 4, 7, 10, 14, 17, 21"
G#min9,4,"G#, B, D#, F#, A#","56, 59, 63, 66, 70","0, 3, 7, 10, 14"
G#min11,4,"G#, B, D#, F#, A#, C#","56, 59, 63, 66, 70, 73","0, 3, 7, 10, 14, 17"
G#min13,4,"G#, B, D#, F#, A#, C#, F","56, 59, 63, 66, 70, 73, 77","0, 3, 7, 10, 14, 17, 21"
G#maj6,4,"G#, C, D#, F","56, 60, 63, 65","0, 4, 7, 9"
G#b6,4,"G#, C, D#, E","56, 60, 63, 64","0, 4, 7, 8"
G#b3,4,"G#, A#, C, D#","56, 58, 60, 63","0, 2, 4, 7"
G##9,4,"G#, C, D#, B","56, 60, 63, 71","0, 4, 7, 15"
G#dim7,4,"G#, B, D, F","56, 59, 62, 65","0, 3, 6, 9"
G#min6,4,"G#, B, D#, F","56, 59, 63, 65","0, 3, 7, 9"
G#maj9,4,"G#, C, D#, G, A#","56, 60, 63, 67, 70","0, 4, 7, 11, 14"
G#7sus4,4,"G#, C#, D#, F#","56, 61, 63, 66","0, 5, 7, 10"
G#7sus2,4,"G#, A#, D#, F#","56, 58, 63, 66","0, 2, 7, 10"
G#7b5,4,"G#, C, D, F#","56, 60, 62, 66","0, 4, 6, 10"
G#7#5,4,"G#, C, E, F#","56, 60, 64, 66","0, 4, 8, 10"
G#7b9,4,"G#, C, D#, F#, A","56, 60, 63, 66, 69","0, 4, 7, 10, 13"
G##4,4,"G#, D, D#","56, 62, 63","0, 6, 7"
G#7#9,4,"G#, C, D#, F#, B","56, 60, 63, 66, 71","0, 4, 7, 10, 15"
G#hdim,4,"G#, B, D, F#","56, 59, 62, 66","0, 3, 6, 10"
Amaj,4,"A, C#, E","57, 61, 64","0, 4, 7"
Amin,4,"A, C, E","57, 60, 64","0, 3, 7"
A7,4,"A, C#, E, G","57, 61, 64, 67","0, 4, 7, 10"
Amaj7,4,"A, C#, E, G#","57, 61, 64, 68","0, 4, 7, 11"
Amin7,4,"A, C, E, G","57, 60, 64, 67","0, 3, 7, 10"
Aminmaj7,4,"A, C, E, G#","57, 60, 64, 68","0, 3, 7, 11"
Adim,4,"A, C, D#","57, 60, 63","0, 3, 6"
Aaug,4,"A, C#, F","57, 61, 65","0, 4, 8"
Aaug(b7),4,"A, C#, F, G#","57, 61, 65, 68","0, 4, 8, 11"
Asus2,4,"A, B, E","57, 59, 64","0, 2, 7"
Asus4,4,"A, D, E","57, 62, 64","0, 5, 7"
A9,4,"A, C#, E, G, B","57, 61, 64, 67, 71","0, 4, 7, 10, 14"
A11,4,"A, C#, E, G, B, D","57, 61, 64, 67, 71, 74","0, 4, 7, 10, 14, 17"
A13,4,"A, C#, E, G, B, D, F#","57, 61, 64, 67, 71, 74, 78","0, 4, 7, 10, 14, 17, 21"
Amin9,4,"A, C, E, G, B","57, 60, 64, 67, 71","0, 3, 7, 10, 14"
Amin11,4,"A, C, E, G, B, D","57, 60, 64, 67, 71, 74","0, 3, 7, 10, 14, 17"
Amin13,4,"A, C, E, G, B, D, F#","57, 60, 64, 67, 71, 74, 78","0, 3, 7, 10, 14, 17, 21"
Amaj6,4,"A, C#, E, F#","57, 61, 64, 66","0, 4, 7, 9"
Ab6,4,"A, C#, E, F","57, 61, 64, 65","0, 4, 7, 8"
Ab3,4,"A, B, C#, E","57, 59, 61, 64","0, 2, 4, 7"
A#9,4,"A, C#, E, C","57, 61, 64, 72","0, 4, 7, 15"
Adim7,4,"A, C, D#, F#","57, 60, 63, 66","0, 3, 6, 9"
Amin6,4,"A, C, E, F#","57, 60, 64, 66","0, 3, 7, 9"
Amaj9,4,"A, C#, E, G#, B","57, 61, 64, 68, 71","0, 4, 7, 11, 14"
A7sus4,4,"A, D, E, G","57, 62, 64, 67","0, 5, 7, 10"
A7sus2,4,"A, B, E, G","57, 59, 64, 67","0, 2, 7, 10"
A7b5,4,"A, C#, D#, G","57, 61, 63, 67","0, 4, 6, 10"
A7#5,4,"A, C#, F, G","57, 61, 65, 67","0, 4, 8, 10"
A7b9,4,"A, C#, E, G, A#","57, 61, 64, 67, 70","0, 4, 7, 10, 13"
A#4,4,"A, D#, E","57, 63, 64","0, 6, 7"
A7#9,4,"A, C#, E, G, C","57, 61, 64, 67, 72","0, 4, 7, 10, 15"
Ahdim,4,"A, C, D#, G","57, 60, 63, 67","0, 3, 6, 10"
A#maj,4,"A#, D, F","58, 62, 65","0, 4, 7"
A#min,4,"A#, C#, F","58, 61, 65","0, 3, 7"
A#7,4,"A#, D, F, G#","58, 62, 65, 68","0, 4, 7, 10"
A#maj7,4,"A#, D, F, A","58, 62, 65, 69","0, 4, 7, 11"
A#min7,4,"A#, C#, F, G#","58, 61, 65, 68","0, 3, 7, 10"
A#minmaj7,4,"A#, C#, F, A","58, 61, 65, 69","0, 3, 7, 11"
A#dim,4,"A#, C#, E","58, 61, 64","0, 3, 6"
A#aug,4,"A#, D, F#","58, 62, 66","0, 4, 8"
A#aug(b7),4,"A#, D, F#, A","58, 62, 66, 69","0, 4, 8, 11"
A#sus2,4,"A#, C, F","58, 60, 65","0, 2, 7"
A#sus4,4,"A#, D#, F","58, 63, 65","0, 5, 7"
A#9,4,"A#, D, F, G#, C","58, 62, 65, 68, 72","0, 4, 7, 10, 14"
A#11,4,"A#, D, F, G#, C, D#","58, 62, 65, 68, 72, 75","0, 4, 7, 10, 14, 17"
A#13,4,"A#, D, F, G#, C, D#, G","58, 62, 65, 68, 72, 75, 79","0, 4, 7, 10, 14, 17, 21"
A#min9,4,"A#, C#, F, G#, C","58, 61, 65, 68, 72","0, 3, 7, 10, 14"
A#min11,4,"A#, C#, F, G#, C, D#","58, 61, 65, 68, 72, 75","0, 3, 7, 10, 14, 17"
A#min13,4,"A#, C#, F, G#, C, D#, G","58, 61, 65, 68, 72, 75, 79","0, 3, 7, 10, 14, 17, 21"
A#maj6,4,"A#, D, F, G","58, 62, 65, 67","0, 4, 7, 9"
A#b6,4,"A#, D, F, F#","58, 62, 65, 66","0, 4, 7, 8"
A#b3,4,"A#, C, D, F","58, 60, 62, 65","0, 2, 4, 7"
A##9,4,"A#, D, F, C#","58, 62, 65, 73","0, 4, 7, 15"
A#dim7,4,"A#, C#, E, G","58, 61, 64, 67","0, 3, 6, 9"
A#min6,4,"A#, C#, F, G","58, 61, 65, 67","0, 3, 7, 9"
A#maj9,4,"A#, D, F, A, C","58, 62, 65, 69, 72","0, 4, 7, 11, 14"
A#7sus4,4,"A#, D#, F, G#","58, 63, 65, 68","0, 5, 7, 10"
A#7sus2,4,"A#, C, F, G#","58, 60, 65, 68","0, 2, 7, 10"
A#7b5,4,"A#, D, E, G#","58, 62, 64, 68","0, 4, 6, 10"
A#7#5,4,"A#, D, F#, G#","58, 62, 66, 68","0, 4, 8, 10"
A#7b9,4,"A#, D, F, G#, B","58, 62, 65, 68, 71","0, 4, 7, 10, 13"
A##4,4,"A#, E, F","58, 64, 65","0, 6, 7"
A#7#9,4,"A#, D, F, G#, C#","58, 62, 65, 68, 73","0, 4, 7, 10, 15"
A#hdim,4,"A#, C#, E, G#","58, 61, 64, 68","0, 3, 6, 10"
Bmaj,4,"B, D#, F#","59, 63, 66","0, 4, 7"
Bmin,4,"B, D, F#","59, 62, 66","0, 3, 7"
B7,4,"B, D#, F#, A","59, 63, 66, 69","0, 4, 7, 10"
Bmaj7,4,"B, D#, F#, A#","59, 63, 66, 70","0, 4, 7, 11"
Bmin7,4,"B, D, F#, A","59, 62, 66, 69","0, 3, 7, 10"
Bminmaj7,4,"B, D, F#, A#","59, 62, 66, 70","0, 3, 7, 11"
Bdim,4,"B, D, F","59, 62, 65","0, 3, 6"
Baug,4,"B, D#, G","59, 63, 67","0, 4, 8"
Baug(b7),4,"B, D#, G, A#","59, 63, 67, 70","0, 4, 8, 11"
Bsus2,4,"B, C#, F#","59, 61, 66","0, 2, 7"
Bsus4,4,"B, E, F#","59, 64, 66","0, 5, 7"
B9,4,"B, D#, F#, A, C#","59, 63, 66, 69, 73","0, 4, 7, 10, 14"
B11,4,"B, D#, F#, A, C#, E","59, 63, 66, 69, 73, 76","0, 4, 7, 10, 14, 17"
B13,4,"B, D#, F#, A, C#, E, G#","59, 63, 66, 69, 73, 76, 80","0, 4, 7, 10, 14, 17, 21"
Bmin9,4,"B, D, F#, A, C#","59, 62, 66, 69, 73","0, 3, 7, 10, 14"
Bmin11,4,"B, D, F#, A, C#, E","59, 62, 66, 69, 73, 76","0, 3, 7, 10, 14, 17"
Bmin13,4,"B, D, F#, A, C#, E, G#","59, 62, 66, 69, 73, 76, 80","0, 3, 7, 10, 14, 17, 21"
Bmaj6,4,"B, D#, F#, G#","59, 63, 66, 68","0, 4, 7, 9"
Bb6,4,"B, D#, F#, G","59, 63, 66, 67","0, 4, 7, 8"
Bb3,4,"B, C#, D#, F#","59, 61, 63, 66","0, 2, 4, 7"
B#9,4,"B, D#, F#, D","59, 63, 66, 74","0, 4, 7, 15"
Bdim7,4,"B, D, F, G#","59, 62, 65, 68","0, 3, 6, 9"
Bmin6,4,"B, D, F#, G#","59, 62, 66, 68","0, 3, 7, 9"
Bmaj9,4,"B, D#, F#, A#, C#","59, 63, 66, 70, 73","0, 4, 7, 11, 14"
B7sus4,4,"B, E, F#, A","59, 64, 66, 69","0, 5, 7, 10"
B7sus2,4,"B, C#, F#, A","59, 61, 66, 69","0, 2, 7, 10"
B7b5,4,"B, D#, F, A","59, 63, 65, 69","0, 4, 6, 10"
B7#5,4,"B, D#, G, A","59, 63, 67, 69","0, 4, 8, 10"
B7b9,4,"B, D#, F#, A, C","59, 63, 66, 69, 72","0, 4, 7, 10, 13"
B#4,4,"B, F, F#","59, 65, 66","0, 6, 7"
B7#9,4,"B, D#, F#, A, D","59, 63, 66, 69, 74","0, 4, 7, 10, 15"
Bhdim,4,"B, D, F, A","59, 62, 65, 69","0, 3, 6, 10"
Cmaj,5,"C, E, G","60, 64, 67","0, 4, 7"
Cmin,5,"C, D#, G","60, 63, 67","0, 3, 7"
C7,5,"C, E, G, A#","60, 64, 67, 70","0, 4, 7, 10"
Cmaj7,5,"C, E, G, B","60, 64, 67, 71","0, 4, 7, 11"
Cmin7,5,"C, D#, G, A#","60, 63, 67, 70","0, 3, 7, 10"
Cminmaj7,5,"C, D#, G, B","60, 63, 67, 71","0, 3, 7, 11"
Cdim,5,"C, D#, F#","60, 63, 66","0, 3, 6"
Caug,5,"C, E, G#","60, 64, 68","0, 4, 8"
Caug(b7),5,"C, E, G#, B","60, 64, 68, 71","0, 4, 8, 11"
Csus2,5,"C, D, G","60, 62, 67","0, 2, 7"
Csus4,5,"C, F, G","60, 65, 67","0, 5, 7"
C9,5,"C, E, G, A#, D","60, 64, 67, 70, 74","0, 4, 7, 10, 14"
C11,5,"C, E, G, A#, D, F","60, 64, 67, 70, 74, 77","0, 4, 7, 10, 14, 17"
C13,5,"C, E, G, A#, D, F, A","60, 64, 67, 70, 74, 77, 81","0, 4, 7, 10, 14, 17, 21"
Cmin9,5,"C, D#, G, A#, D","60, 63, 67, 70, 74","0, 3, 7, 10, 14"
Cmin11,5,"C, D#, G, A#, D, F","60, 63, 67, 70, 74, 77","0, 3, 7, 10, 14, 17"
Cmin13,5,"C, D#, G, A#, D, F, A","60, 63, 67, 70, 74, 77, 81","0, 3, 7, 10, 14, 17, 21"
Cmaj6,5,"C, E, G, A","60, 64, 67, 69","0, 4, 7, 9"
Cb6,5,"C, E, G, G#","60, 64, 67, 68","0, 4, 7, 8"
Cb3,5,"C, D, E, G","60, 62, 64, 67","0, 2, 4, 7"
C#9,5,"C, E, G, D#","60, 64, 67, 75","0, 4, 7, 15"
Cdim7,5,"C, D#, F#, A","60, 63, 66, 69","0, 3, 6, 9"
Cmin6,5,"C, D#, G, A","60, 63, 67, 69","0, 3, 7, 9"
Cmaj9,5,"C, E, G, B, D","60, 64, 67, 71, 74","0, 4, 7, 11, 14"
C7sus4,5,"C, F, G, A#","60, 65, 67, 70","0, 5, 7, 10"
C7sus2,5,"C, D, G, A#","60, 62, 67, 70","0, 2, 7, 10"
C7b5,5,"C, E, F#, A#","60, 64, 66, 70","0, 4, 6, 10"
C7#5,5,"C, E, G#, A#","60, 64, 68, 70","0, 4, 8, 10"
C7b9,5,"C, E, G, A#, C#","60, 64, 67, 70, 73","0, 4, 7, 10, 13"
C#4,5,"C, F#, G","60, 66, 67","0, 6, 7"
C7#9,5,"C, E, G, A#, D#","60, 64, 67, 70, 75","0, 4, 7, 10, 15"
Chdim,5,"C, D#, F#, A#","60, 63, 66, 70","0, 3, 6, 10"
C#maj,5,"C#, F, G#","61, 65, 68","0, 4, 7"
C#min,5,"C#, E, G#","61, 64, 68","0, 3, 7"
C#7,5,"C#, F, G#, B","61, 65, 68, 71","0, 4, 7, 10"
C#maj7,5,"C#, F, G#, C","61, 65, 68, 72","0, 4, 7, 11"
C#min7,5,"C#, E, G#, B","61, 64, 68, 71","0, 3, 7, 10"
C#minmaj7,5,"C#, E, G#, C","61, 64, 68, 72","0, 3, 7, 11"
C#dim,5,"C#, E, G","61, 64, 67","0, 3, 6"
C#aug,5,"C#, F, A","61, 65, 69","0, 4, 8"
C#aug(b7),5,"C#, F, A, C","61, 65, 69, 72","0, 4, 8, 11"
C#sus2,5,"C#, D#, G#","61, 63, 68","0, 2, 7"
C#sus4,5,"C#, F#, G#","61, 66, 68","0, 5, 7"
C#9,5,"C#, F, G#, B, D#","61, 65, 68, 71, 75","0, 4, 7, 10, 14"
C#11,5,"C#, F, G#, B, D#, F#","61, 65, 68, 71, 75, 78","0, 4, 7, 10, 14, 17"
C#13,5,"C#, F, G#, B, D#, F#, A#","61, 65, 68, 71, 75, 78, 82","0, 4, 7, 10, 14, 17, 21"
C#min9,5,"C#, E, G#, B, D#","61, 64, 68, 71, 75","0, 3, 7, 10, 14"
C#min11,5,"C#, E, G#, B, D#, F#","61, 64, 68, 71, 75, 78","0, 3, 7, 10, 14, 17"
C#min13,5,"C#, E, G#, B, D#, F#, A#","61, 64, 68, 71, 75, 78, 82","0, 3, 7, 10, 14, 17, 21"
C#maj6,5,"C#, F, G#, A#","61, 65, 68, 70","0, 4, 7, 9"
C#b6,5,"C#, F, G#, A","61, 65, 68, 69","0, 4, 7, 8"
C#b3,5,"C#, D#, F, G#","61, 63, 65, 68","0, 2, 4, 7"
C##9,5,"C#, F, G#, E","61, 65, 68, 76","0, 4, 7, 15"
C#dim7,5,"C#, E, G, A#","61, 64, 67, 70","0, 3, 6, 9"
C#min6,5,"C#, E, G#, A#","61, 64, 68, 70","0, 3, 7, 9"
C#maj9,5,"C#, F, G#, C, D#","61, 65, 68, 72, 75","0, 4, 7, 11, 14"
C#7sus4,5,"C#, F#, G#, B","61, 66, 68, 71","0, 5, 7, 10"
C#7sus2,5,"C#, D#, G#, B","61, 63, 68, 71","0, 2, 7, 10"
C#7b5,5,"C#, F, G, B","61, 65, 67, 71","0, 4, 6, 10"
C#7#5,5,"C#, F, A, B","61, 65, 69, 71","0, 4, 8, 10"
C#7b9,5,"C#, F, G#, B, D","61, 65, 68, 71, 74","0, 4, 7, 10, 13"
C##4,5,"C#, G, G#","61, 67, 68","0, 6, 7"
C#7#9,5,"C#, F, G#, B, E","61, 65, 68, 71, 76","0, 4, 7, 10, 15"
C#hdim,5,"C#, E, G, B","61, 64, 67, 71","0, 3, 6, 10"
Dmaj,5,"D, F#, A","62, 66, 69","0, 4, 7"
Dmin,5,"D, F, A","62, 65, 69","0, 3, 7"
D7,5,"D, F#, A, C","62, 66, 69, 72","0, 4, 7, 10"
Dmaj7,5,"D, F#, A, C#","62, 66, 69, 73","0, 4, 7, 11"
Dmin7,5,"D, F, A, C","62, 65, 69, 72","0, 3, 7, 10"
Dminmaj7,5,"D, F, A, C#","62, 65, 69, 73","0, 3, 7, 11"
Ddim,5,"D, F, G#","62, 65, 68","0, 3, 6"
Daug,5,"D, F#, A#","62, 66, 70","0, 4, 8"
Daug(b7),5,"D, F#, A#, C#","62, 66, 70, 73","0, 4, 8, 11"
Dsus2,5,"D, E, A","62, 64, 69","0, 2, 7"
Dsus4,5,"D, G, A","62, 67, 69","0, 5, 7"
D9,5,"D, F#, A, C, E","62, 66, 69, 72, 76","0, 4, 7, 10, 14"
D11,5,"D, F#, A, C, E, G","62, 66, 69, 72, 76, 79","0, 4, 7, 10, 14, 17"
D13,5,"D, F#, A, C, E, G, B","62, 66, 69, 72, 76, 79, 83","0, 4, 7, 10, 14, 17, 21"
Dmin9,5,"D, F, A, C, E","62, 65, 69, 72, 76","0, 3, 7, 10, 14"
Dmin11,5,"D, F, A, C, E, G","62, 65, 69, 72, 76, 79","0, 3, 7, 10, 14, 17"
